Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S94496198,American Crow,Corvus brachyrhynchos,20762,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94520472,American Crow,Corvus brachyrhynchos,20762,5.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,2:27 PM,eBird - Traveling Count,166,1,4.281,,3,,,,
S94496198,American Goldfinch,Spinus tristis,31551,2.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94520472,American Goldfinch,Spinus tristis,31551,2.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,2:27 PM,eBird - Traveling Count,166,1,4.281,,3,,,,
S94496198,American Redstart,Setophaga ruticilla,32950,6.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94507139,American Redstart,Setophaga ruticilla,32950,2.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,10:16 AM,eBird - Traveling Count,169,1,3.144,,4,,,,
S94520472,American Redstart,Setophaga ruticilla,32950,2.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,2:27 PM,eBird - Traveling Count,166,1,4.281,,3,,,,
S94496198,American Robin,Turdus migratorius,27616,3.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94507139,American Robin,Turdus migratorius,27616,X,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,10:16 AM,eBird - Traveling Count,169,1,3.144,,4,,,,
S94511831,American Robin,Turdus migratorius,27616,2.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,1:38 PM,eBird - Traveling Count,46,1,1.143,,3,,,,
S94520472,American Robin,Turdus migratorius,27616,5.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,2:27 PM,eBird - Traveling Count,166,1,4.281,,3,,,,
S94496198,Bay-breasted Warbler,Setophaga castanea,32973,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94507139,Bay-breasted Warbler,Setophaga castanea,32973,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,10:16 AM,eBird - Traveling Count,169,1,3.144,,4,,,,
S94524518,Bay-breasted Warbler,Setophaga castanea,32973,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,5:17 PM,eBird - Traveling Count,77,1,1.227,,3,,,,
S94496198,Belted Kingfisher,Megaceryle alcyon,9782,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94520472,Belted Kingfisher,Megaceryle alcyon,9782,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,2:27 PM,eBird - Traveling Count,166,1,4.281,,3,,,,
S94507139,Black Vulture,Coragyps atratus,7412,2.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,10:16 AM,eBird - Traveling Count,169,1,3.144,,4,,,,
S94520472,Black Vulture,Coragyps atratus,7412,4.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,2:27 PM,eBird - Traveling Count,166,1,4.281,,3,,,,
S94496198,Black-and-white Warbler,Mniotilta varia,32859,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94507139,Black-and-white Warbler,Mniotilta varia,32859,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,10:16 AM,eBird - Traveling Count,169,1,3.144,,4,,,,
S94507139,Blackburnian Warbler,Setophaga fusca,32974,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,10:16 AM,eBird - Traveling Count,169,1,3.144,,4,,,,
S94496198,Black-throated Green Warbler,Setophaga virens,33090,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94507139,Black-throated Green Warbler,Setophaga virens,33090,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,10:16 AM,eBird - Traveling Count,169,1,3.144,,4,,,,
S94520472,Black-throated Green Warbler,Setophaga virens,33090,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,2:27 PM,eBird - Traveling Count,166,1,4.281,,3,,,,
S94496198,Blue Jay,Cyanocitta cristata,20496,4.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94507139,Blue Jay,Cyanocitta cristata,20496,5.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,10:16 AM,eBird - Traveling Count,169,1,3.144,,4,,,,
S94511831,Blue Jay,Cyanocitta cristata,20496,2.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,1:38 PM,eBird - Traveling Count,46,1,1.143,,3,,,,
S94496198,Blue-gray Gnatcatcher,Polioptila caerulea,26211,3.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94520472,Blue-gray Gnatcatcher,Polioptila caerulea,26211,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,2:27 PM,eBird - Traveling Count,166,1,4.281,,3,,,,
S94524518,Brewster's Warbler (hybrid),Vermivora chrysoptera x cyanoptera (F1 hybrid),32856,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,5:17 PM,eBird - Traveling Count,77,1,1.227,,3,,"Yellow wingbars, white underneath, black mask like a blue-winged warbler, yellow crown",,
S94496198,Brown Thrasher,Toxostoma rufum,27103,2.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94520472,Brown Thrasher,Toxostoma rufum,27103,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,2:27 PM,eBird - Traveling Count,166,1,4.281,,3,,,,
S94496198,Canada Goose,Branta canadensis,303,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94496198,Cape May Warbler,Setophaga tigrina,32952,4.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94496198,Carolina Chickadee,Poecile carolinensis,21254,2.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94507139,Carolina Chickadee,Poecile carolinensis,21254,4.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,10:16 AM,eBird - Traveling Count,169,1,3.144,,4,,,,
S94511831,Carolina Chickadee,Poecile carolinensis,21254,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,1:38 PM,eBird - Traveling Count,46,1,1.143,,3,,,,
S94520472,Carolina Chickadee,Poecile carolinensis,21254,2.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,2:27 PM,eBird - Traveling Count,166,1,4.281,,3,,,,
